canonical_name,kgis_code,year,month,category,count,expected,anomaly_score,reason
Uttara Kannada,10,2016,11,CrPC,64,21.0,0.6168,"Nov 2016: 64 Crpc in Uttara Kannada vs ~21 expected (3.0x, z=0.3) - spike."
Bidar,05,2016,1,Karnataka State Local Act,39,12.1,0.6166,"Jan 2016: 39 Karnataka State Local Act in Bidar vs ~12 expected (3.2x, z=1.5) - spike."
Chikkaballapura,28,2021,11,Karnataka State Local Act,99,33.4,0.6154,"Nov 2021: 99 Karnataka State Local Act in Chikkaballapura vs ~33 expected (3.0x, z=1.2) - spike."
Dharwad,09,2022,4,CYBER CRIME,42,14.6,0.6147,"Apr 2022: 42 Cyber Crime in Dharwad vs ~15 expected (2.9x, z=1.9) - spike."
Ramanagara,29,2017,5,CrPC,65,21.6,0.6147,"May 2017: 65 Crpc in Ramanagara vs ~22 expected (3.0x, z=0.3) - spike."
Mysuru,26,2017,3,CrPC,473,154.1,0.6146,"Mar 2017: 473 Crpc in Mysuru vs ~154 expected (3.1x, z=1.5) - spike."
Chikkaballapura,28,2022,2,Karnataka State Local Act,101,34.0,0.6137,"Feb 2022: 101 Karnataka State Local Act in Chikkaballapura vs ~34 expected (3.0x, z=1.2) - spike."
Bengaluru Rural,21,2016,7,Karnataka State Local Act,66,24.9,0.6122,"Jul 2016: 66 Karnataka State Local Act in Bengaluru Rural vs ~25 expected (2.7x, z=2.2) - spike."
Bengaluru Urban,20,2022,1,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,334,118.9,0.6116,"Jan 2022: 334 Narcotic Drugs & Pshycotropic Substances in Bengaluru Urban vs ~119 expected (2.8x, z=1.1) - spike."
Udupi,16,2019,6,KARNATAKA POLICE ACT 1963,51,18.4,0.6099,"Jun 2019: 51 Karnataka Police Act 1963 in Udupi vs ~18 expected (2.8x, z=2.0) - spike."
Udupi,16,2019,11,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,34,10.7,0.6099,"Nov 2019: 34 Narcotic Drugs & Pshycotropic Substances in Udupi vs ~11 expected (3.2x, z=1.4) - spike."
Dharwad,09,2016,1,CrPC,142,48.7,0.6056,"Jan 2016: 142 Crpc in Dharwad vs ~49 expected (2.9x, z=1.0) - spike."
Udupi,16,2017,5,CrPC,252,89.7,0.603,"May 2017: 252 Crpc in Udupi vs ~90 expected (2.8x, z=1.3) - spike."
Raichur,06,2016,8,CrPC,338,117.8,0.6019,"Aug 2016: 338 Crpc in Raichur vs ~118 expected (2.9x, z=1.3) - spike."
Raichur,06,2017,6,CrPC,184,64.5,0.6008,"Jun 2017: 184 Crpc in Raichur vs ~64 expected (2.9x, z=0.7) - spike."
Mysuru,26,2017,8,CrPC,141,49.7,0.6006,"Aug 2017: 141 Crpc in Mysuru vs ~50 expected (2.8x, z=0.4) - spike."
Belagavi,01,2016,9,CrPC,175,60.6,0.6003,"Sep 2016: 175 Crpc in Belagavi vs ~61 expected (2.9x, z=0.5) - spike."
Vijayapura,03,2016,9,CrPC,139,49.2,0.5996,"Sep 2016: 139 Crpc in Vijayapura vs ~49 expected (2.8x, z=1.2) - spike."
Hassan,23,2017,7,CrPC,116,39.4,0.599,"Jul 2017: 116 Crpc in Hassan vs ~39 expected (2.9x, z=0.3) - spike."
Dharwad,09,2017,10,CrPC,49,16.6,0.5985,"Oct 2017: 49 Crpc in Dharwad vs ~17 expected (3.0x, z=0.3) - spike."
Shivamogga,15,2017,5,CrPC,760,270.7,0.5973,"May 2017: 760 Crpc in Shivamogga vs ~271 expected (2.8x, z=1.4) - spike."
Tumakuru,18,2016,9,CrPC,105,37.0,0.5972,"Sep 2016: 105 Crpc in Tumakuru vs ~37 expected (2.8x, z=0.6) - spike."
Dharwad,09,2021,11,Karnataka State Local Act,56,20.0,0.5952,"Nov 2021: 56 Karnataka State Local Act in Dharwad vs ~20 expected (2.8x, z=1.7) - spike."
Dakshina Kannada,24,2022,4,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,63,21.1,0.5936,"Apr 2022: 63 Narcotic Drugs & Pshycotropic Substances in Dakshina Kannada vs ~21 expected (3.0x, z=1.5) - spike."
Udupi,16,2022,5,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,18,5.9,0.5933,"May 2022: 18 Narcotic Drugs & Pshycotropic Substances in Udupi vs ~6 expected (3.1x, z=0.7) - spike."
