major_head,sub_head,count
ASSAULT,On Woman (General),63
OF ABETMENT,OF ABETMENT,63
THEFT,Of Automobiles - Of Buses,63
ARMS ACT 1959,Country Made - Prohibited Bore - In Disturbed Area,63
THEFT,Of Fire Arms,62
POISONING-PROFESSIONAL,Non Fatal,61
CONSUMER,Prevention of Food Adulteration Act 1954,60
ARSON,Govt. Property,58
ATTEMPT TO MURDER,Gang Rivalry,56
INSULTING MODESTY OF WOMEN (EVE TEASING),Office,54
KIDNAPPING AND ABDUCTION,Settling any Disputes,53
NEGLIGENT ACT,Poisonous Substance - Related,53
CRIMINAL MISAPPROPRIATION,Others,52
Human Trafficking,Women,51
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Other Govt Official,51
ATTEMPT TO MURDER,Adultery,51
ANIMAL,Cattle Tresspass Act 1871,49
DEFAMATION,Persons,49
ANTIQUES (CULTURAL PROPERTY),Ancient Monument & Archaelogical Sites And Remains Act 1958,48
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Other Enforcement Official,48
THEFT,Of Cultural - Idols,47
SLAVERY,Woman,47
KIDNAPPING AND ABDUCTION,From Lawful Guardianship,47
DEATHS DUE TO RASHNESS/NEGLIGENCE,Building Collapse,46
ATTEMPT TO MURDER,Professional,42
POCSO,Gang Rape,42
ADULTERATION,Alcoholic Drink(Liquor),42
RAPE,By Husband During Separation,42
CIVIL RIGHTS,Protection of Civil Rights Act 1955,42
RAILWAYS ACT,Indian Railways Act 1989,41
PASSPORT ACT,Foreigner,39
RIOTS,Labour - Public Sector,38
CASES OF HURT,Acid Attack (326(a)),38
OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim),Other Elected Member,37
FOREST,Indian Forest Act 1927,36
OFFICIAL SECURITY RELATED ACTS,Essential Services Maintainance Act 1981,36
ASSAULT,Attempt To Commit,34
MURDER,For Dowry By Burning,33
SEDITION,By National,32
CONSUMER,Consumer (Protection) Act 1986,32
ARSON,Attempt To Commit,31
ARSON,Warehouse(Godown),30
IMPERSONATION,Non-Uniformed Authority,30
PUBLIC JUSTICE,Public Justice,30
DEFAMATION,Others,30
BURGLARY - NIGHT,On Highways,30
CRIMINAL CONSPIRACY,Related To Substantive Offence,29
MURDER,For Political Reasons,29
OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused),Others,29
ATTEMPT TO MURDER,Due To Casteism,29
